id	value	url
1	Neurofibromatosis	https://www.genturis.eu/l=eng/Genetic-tumour-risk-syndromes/Neurofibromatosis.html
2	Lynch syndrome and polyposis	https://www.genturis.eu/l=eng/Genetic-tumour-risk-syndromes/Lynch-syndrome-and-polyposis.html
3	Hereditary breast and ovarian cancer	https://www.genturis.eu/l=eng/Genetic-tumour-risk-syndromes/Hereditary-breast-and-ovarian-cancer.html
4	Other rare  predominantly malignant- genturis	https://www.genturis.eu/l=eng/Genetic-tumour-risk-syndromes/Other-rare-genturis.html
