name	label	description	entity	dataType	refEntity	nillable	unique	visible	idAttribute	labelAttribute	readOnly	aggregateable	lookupAttribute	enumOptions	partOfAttribute	rangeMax	rangeMin	mappedBy	expression	validationExpression	defaultValue	tags	auto	label-en	description-en	label-nl	description-nl	label-de	description-de	label-es	description-es	label-it	description-it	label-pt	description-pt	label-fr	description-fr	label-xx	description-xx
id	id		geneticVariant	string		FALSE	TRUE	FALSE	TRUE		TRUE	FALSE	FALSE										TRUE																
geneticVariantLabel	geneticVariantLabel		geneticVariant	string		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE						"{""template"":""GeneticVariant-{{gene.code}}-{{hgvs_cDNA}}""}"				FALSE																
gene	Name of the gene	Gene (cosmic)	geneticVariant	xref	genturis_codebook_cosmic	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
hgvs_gNotation	Variant at genomic reference sequence	What is the g. notation? (HGVS nomenclature)	geneticVariant	string		FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
genomeBuild	Genome build	Genome build	geneticVariant	categorical	genturis_GRCH	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
hgvs_cDNA	Variant at coding DNA reference sequence	What is the coding DNA notation? (HGVS nomenclature)	geneticVariant	string		FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
hgvs_transcript	Transcript	What is the transcript belonging to the cDNA variant? (HGVS nomenclature)	geneticVariant	string		FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
variantType	Variant type	What is the type of mutation?	geneticVariant	xref	genturis_mutationType	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
variantZygosity	Zygosity of variant	What is the zygosity of the germline variant?	geneticVariant	enum		FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE	Homozygous germline variant, Heterozygous germline variant, Unknown									FALSE																
variantClass	Variant classification	What is the class of the variant?	geneticVariant	xref	genturis_codebook1_classVariant	FALSE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
