code	value_en	synonyms	description_en	parents	codesystem	description_code
http://purl.obolibrary.org/obo/ERO_0002061	non-biological family relationship		A family relationship between persons linked through marraige or adoption.	http://purl.obolibrary.org/obo/ERO_0002033	ERO	http://purl.obolibrary.org/obo/ERO_0002061
http://purl.obolibrary.org/obo/ERO_0002037	biological family relationship		A family relationship between persons linked through descent from a common ancestor.	http://purl.obolibrary.org/obo/ERO_0002033	ERO	http://purl.obolibrary.org/obo/ERO_0002037
http://purl.obolibrary.org/obo/ERO_0002033	family relationship		A relationship between persons related as members of a domestic group, or a number of domestic groups linked through descent from a common ancestor, marriage, or adoption		ERO	http://purl.obolibrary.org/obo/ERO_0002033
http://purl.obolibrary.org/obo/ERO_0002063	relationship by marriage			http://purl.obolibrary.org/obo/ERO_0002061	ERO	http://purl.obolibrary.org/obo/ERO_0002063
http://purl.obolibrary.org/obo/ERO_0002062	adopted relationship			http://purl.obolibrary.org/obo/ERO_0002061	ERO	http://purl.obolibrary.org/obo/ERO_0002062
http://purl.obolibrary.org/obo/ERO_0002051	collateral family relationship		A biological family relationship between persons whoe are not linked through a direct line of descent.	http://purl.obolibrary.org/obo/ERO_0002037	ERO	http://purl.obolibrary.org/obo/ERO_0002051
http://purl.obolibrary.org/obo/ERO_0002038	lineal family relationship		A biological family relationship between persons linked through a direct line of descent.	http://purl.obolibrary.org/obo/ERO_0002037	ERO	http://purl.obolibrary.org/obo/ERO_0002038
http://purl.obolibrary.org/obo/ERO_0002052	cousin relationship		A collateral family relationship of a person to thier cousin.	http://purl.obolibrary.org/obo/ERO_0002051	ERO	http://purl.obolibrary.org/obo/ERO_0002052
http://purl.obolibrary.org/obo/ERO_0002058	niece/nephew relationship		A collateral family relationship of a person to thier niece or nephew.	http://purl.obolibrary.org/obo/ERO_0002051	ERO	http://purl.obolibrary.org/obo/ERO_0002058
http://purl.obolibrary.org/obo/ERO_0002055	aunt/uncle relationship		A collateral family relationship of a person to thier aunt or uncle.	http://purl.obolibrary.org/obo/ERO_0002051	ERO	http://purl.obolibrary.org/obo/ERO_0002055
http://purl.obolibrary.org/obo/ERO_0002053	maternal cousin relationship		A collateral family relationship of a person to thier maternal cousin.	http://purl.obolibrary.org/obo/ERO_0002052	ERO	http://purl.obolibrary.org/obo/ERO_0002053
http://purl.obolibrary.org/obo/ERO_0002054	paternal cousin relationship		A collateral family relationship of a person to thier paternal cousin.	http://purl.obolibrary.org/obo/ERO_0002052	ERO	http://purl.obolibrary.org/obo/ERO_0002054
http://purl.obolibrary.org/obo/ERO_0002060	paternal niece/nephew relationship		A collateral family relationship of a person to thier paternal niece or nephew.	http://purl.obolibrary.org/obo/ERO_0002058	ERO	http://purl.obolibrary.org/obo/ERO_0002060
http://purl.obolibrary.org/obo/ERO_0002059	maternal niece/nephew relationship		A collateral family relationship of a person to thier maternal niece or nephew.	http://purl.obolibrary.org/obo/ERO_0002058	ERO	http://purl.obolibrary.org/obo/ERO_0002059
http://purl.obolibrary.org/obo/ERO_0002057	paternal aunt/uncle relationship		A collateral family relationship of a person to thier paternal aunt or uncle.	http://purl.obolibrary.org/obo/ERO_0002055	ERO	http://purl.obolibrary.org/obo/ERO_0002057
http://purl.obolibrary.org/obo/ERO_0002056	maternal aunt/uncle relationship		A collateral family relationship of a person to thier maternal aunt or uncle.	http://purl.obolibrary.org/obo/ERO_0002055	ERO	http://purl.obolibrary.org/obo/ERO_0002056
http://purl.obolibrary.org/obo/ERO_0002039	sibling relationship		A lineal family relationship between two persons with at least one shared parent.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002039
http://purl.obolibrary.org/obo/ERO_0002049	great grandchild relationship		A lineal family relationship from a person to their biological great grandparent.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002049
http://purl.obolibrary.org/obo/ERO_0002047	child relationship		A lineal family relationship from a person to their biological parent.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002047
http://purl.obolibrary.org/obo/ERO_0002046	nth great grandparent relationship		A lineal family relationship from a person and their descendent who is more than three generations removed (e.g. subsequent to a great grandchild)	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002046
http://purl.obolibrary.org/obo/ERO_0002050	nth great grandchild relationship		A lineal family relationship from a person and an ancestor who is more than three generations removed (e.g. preceding a great grandparent)	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002050
http://purl.obolibrary.org/obo/ERO_0002048	grandchild relationship		A lineal family relationship from a person to their biological grandparent.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002048
http://purl.obolibrary.org/obo/ERO_0002044	grandparent relationship		A lineal family relationship from a person and their biological grandchild.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002044
http://purl.obolibrary.org/obo/ERO_0002043	parent relationship		A lineal family relationship from a parent to their biological offspring.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002043
http://purl.obolibrary.org/obo/ERO_0002045	great grandparent relationship		A lineal family relationship from a person and their biological great grandchild.	http://purl.obolibrary.org/obo/ERO_0002038	ERO	http://purl.obolibrary.org/obo/ERO_0002045
http://purl.obolibrary.org/obo/ERO_0002040	twin relationship		A sibling relationship between twins.	http://purl.obolibrary.org/obo/ERO_0002039	ERO	http://purl.obolibrary.org/obo/ERO_0002040
http://purl.obolibrary.org/obo/ERO_0002041	identical twin relationship		A sibling relationship between paternal twins.	http://purl.obolibrary.org/obo/ERO_0002040	ERO	http://purl.obolibrary.org/obo/ERO_0002041
http://purl.obolibrary.org/obo/ERO_0002042	fraternal twin relationship		A sibling relationship between fraternal twins.	http://purl.obolibrary.org/obo/ERO_0002040	ERO	http://purl.obolibrary.org/obo/ERO_0002042
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
