id	labelhpo	combined
HP_0020049	HP_0020049	
HP_0000316	HP_0000316	
HP_0200057	HP_0200057	
HP_0007633	HP_0007633	
HP_0010877	HP_0010877	
HP_0031616	HP_0031616	
HP_0031615	HP_0031615	
HP_0001138	HP_0001138	
HP_0008048	HP_0008048	
HP_0025348	HP_0025348	
HP_0001093	HP_0001093	
HP_0025589	HP_0025589	
HP_0025588	HP_0025588	
HP_0025587	HP_0025587	
HP_0001131	HP_0001131	
HP_0025069	HP_0025069	
HP_0008046	HP_0008046	
HP_0025068	HP_0025068	
HP_0000546	HP_0000546	
HP_0012777	HP_0012777	
HP_0001118	HP_0001118	
HP_0100691	HP_0100691	
HP_0011958	HP_0011958	
HP_0001123	HP_0001123	
HP_0006934	HP_0006934	
HP_0007866	HP_0007866	
HP_0000556	HP_0000556	
HP_0008037	HP_0008037	
HP_0025514	HP_0025514	
HP_0001120	HP_0001120	
HP_0001361	HP_0001361	
HP_0100583	HP_0100583	
HP_0000541	HP_0000541	
HP_0001112	HP_0001112	
HP_0000666	HP_0000666	
HP_0007973	HP_0007973	
HP_0009594	HP_0009594	
HP_0011141	HP_0011141	
HP_0010696	HP_0010696	
HP_0012630	HP_0012630	
HP_0031256	HP_0031256	
HP_0031531	HP_0031531	
HP_0001583	HP_0001583	
HP_0001102	HP_0001102	
HP_0001103	HP_0001103	
HP_0031528	HP_0031528	
HP_0031527	HP_0031527	
HP_0031526	HP_0031526	
HP_0011492	HP_0011492	
HP_0020006	HP_0020006	
HP_0030691	HP_0030691	
HP_0000518	HP_0000518	
HP_0000639	HP_0000639	
HP_0011496	HP_0011496	
HP_0000519	HP_0000519	
HP_0011495	HP_0011495	
HP_0007957	HP_0007957	
HP_0000486	HP_0000486	
HP_0000640	HP_0000640	
HP_0031775	HP_0031775	
HP_0000488	HP_0000488	
HP_0030329	HP_0030329	
HP_0007833	HP_0007833	
HP_0000523	HP_0000523	
HP_0007834	HP_0007834	
HP_0000480	HP_0000480	
HP_0008000	HP_0008000	
HP_0000481	HP_0000481	
HP_0040004	HP_0040004	
HP_0011480	HP_0011480	
HP_0100017	HP_0100017	
HP_0011488	HP_0011488	
HP_0000505	HP_0000505	
HP_0011486	HP_0011486	
HP_0011485	HP_0011485	
HP_0000593	HP_0000593	
HP_0007703	HP_0007703	
HP_0025551	HP_0025551	
HP_0031701	HP_0031701	
HP_0000594	HP_0000594	
HP_0007705	HP_0007705	
HP_0032118	HP_0032118	
HP_0000479	HP_0000479	
HP_0031702	HP_0031702	
HP_0007663	HP_0007663	
HP_0025311	HP_0025311	
HP_0008061	HP_0008061	
HP_0012043	HP_0012043	
HP_0010544	HP_0010544	
HP_0007807	HP_0007807	
HP_0032011	HP_0032011	
HP_0032012	HP_0032012	
HP_0030502	HP_0030502	
HP_0025560	HP_0025560	
HP_0025163	HP_0025163	
HP_0030506	HP_0030506	
HP_0000587	HP_0000587	
HP_0000588	HP_0000588	
HP_0000589	HP_0000589	
HP_0008052	HP_0008052	
HP_0000568	HP_0000568	
HP_0000601	HP_0000601	
HP_0012795	HP_0012795	
HP_0500008	HP_0500008	
HP_0000572	HP_0000572	
HP_0000573	HP_0000573	
HP_0025571	HP_0025571	
HP_0007765	HP_0007765	
HP_0010922	HP_0010922	
HP_0010920	HP_0010920	
HP_0008058	HP_0008058	
HP_0020045	HP_0020045	
HP_0100704	HP_0100704	
