id	labelhpo	combined
HP_0500011	HP_0500011	
HP_0011334	HP_0011334	
HP_0012368	HP_0012368	
HP_0000320	HP_0000320	
HP_0004443	HP_0004443	
HP_0000321	HP_0000321	
HP_0000300	HP_0000300	
HP_0004428	HP_0004428	
HP_0000324	HP_0000324	
HP_0000204	HP_0000204	
HP_0000325	HP_0000325	
HP_0430026	HP_0430026	
HP_0000280	HP_0000280	
HP_0009099	HP_0009099	
HP_0000161	HP_0000161	
HP_0004442	HP_0004442	
HP_0100338	HP_0100338	
HP_0410031	HP_0410031	
HP_0004440	HP_0004440	
HP_0100335	HP_0100335	
HP_0001999	HP_0001999	
HP_0011324	HP_0011324	
HP_0011340	HP_0011340	
HP_0000175	HP_0000175	
HP_0000274	HP_0000274	
HP_0001363	HP_0001363	
HP_0410005	HP_0410005	
HP_0000311	HP_0000311	
HP_0005461	HP_0005461	
HP_0100729	HP_0100729	
HP_0009101	HP_0009101	
HP_0000295	HP_0000295	
