id	labelhpo	combined
HP_0200098	HP_0200098	
HP_0000953	HP_0000953	
HP_0001009	HP_0001009	
HP_0000965	HP_0000965	
HP_0011137	HP_0011137	
HP_0010783	HP_0010783	
HP_0011276	HP_0011276	
HP_0007505	HP_0007505	
HP_0001014	HP_0001014	
HP_0001025	HP_0001025	
HP_0025272	HP_0025272	
HP_0007513	HP_0007513	
HP_0007535	HP_0007535	
HP_0005306	HP_0005306	
HP_0007443	HP_0007443	
HP_0007400	HP_0007400	
HP_0007554	HP_0007554	
HP_0500090	HP_0500090	
HP_0007544	HP_0007544	
HP_0005586	HP_0005586	
HP_0007394	HP_0007394	
HP_0001010	HP_0001010	
HP_0007440	HP_0007440	
HP_0009123	HP_0009123	
