id	labelhpo	combined
HP_0011677	HP_0011677	
HP_0001723	HP_0001723	
HP_0010445	HP_0010445	
HP_0011676	HP_0011676	
HP_0001649	HP_0001649	
HP_0011675	HP_0011675	
HP_0001629	HP_0001629	
HP_0031860	HP_0031860	
HP_0012817	HP_0012817	
HP_0001674	HP_0001674	
HP_0005115	HP_0005115	
HP_0031017	HP_0031017	
HP_0001695	HP_0001695	
HP_0001631	HP_0001631	
HP_0011702	HP_0011702	
HP_0012516	HP_0012516	
HP_0001655	HP_0001655	
HP_0011623	HP_0011623	
HP_0005152	HP_0005152	
HP_0001636	HP_0001636	
HP_0011567	HP_0011567	
HP_0011622	HP_0011622	
HP_0011621	HP_0011621	
HP_0011665	HP_0011665	
HP_0031054	HP_0031054	
HP_0001638	HP_0001638	
HP_0004308	HP_0004308	
HP_0031053	HP_0031053	
HP_0011663	HP_0011663	
HP_0011684	HP_0011684	
HP_0001639	HP_0001639	
HP_0011683	HP_0011683	
HP_0011682	HP_0011682	
HP_0011681	HP_0011681	
HP_0200127	HP_0200127	
HP_0004974	HP_0004974	
HP_0001662	HP_0001662	
HP_0001684	HP_0001684	
HP_0001962	HP_0001962	
HP_0011679	HP_0011679	
HP_0001644	HP_0001644	
HP_0001680	HP_0001680	
