id	labelhpo	combined
HP_0100884	HP_0100884	
HP_0200054	HP_0200054	
HP_0002659	HP_0002659	
HP_0001849	HP_0001849	
HP_0009816	HP_0009816	
HP_0010717	HP_0010717	
HP_0001770	HP_0001770	
HP_0002661	HP_0002661	
HP_0010716	HP_0010716	
HP_0003310	HP_0003310	
HP_0005775	HP_0005775	
HP_0010715	HP_0010715	
HP_0010714	HP_0010714	
HP_0009779	HP_0009779	
HP_0010713	HP_0010713	
HP_0010712	HP_0010712	
HP_0010711	HP_0010711	
HP_0001215	HP_0001215	
HP_0001776	HP_0001776	
HP_0005855	HP_0005855	
HP_0010710	HP_0010710	
HP_0006385	HP_0006385	
HP_0008443	HP_0008443	
HP_0001371	HP_0001371	
HP_0100712	HP_0100712	
HP_0006101	HP_0006101	
HP_0100258	HP_0100258	
HP_0100259	HP_0100259	
HP_0001836	HP_0001836	
HP_0010674	HP_0010674	
HP_0002803	HP_0002803	
HP_0003418	HP_0003418	
HP_0005716	HP_0005716	
HP_0100490	HP_0100490	
HP_0002651	HP_0002651	
HP_0010706	HP_0010706	
HP_0002650	HP_0002650	
HP_0003302	HP_0003302	
HP_0010705	HP_0010705	
HP_0001762	HP_0001762	
HP_0010704	HP_0010704	
HP_0002652	HP_0002652	
HP_0004631	HP_0004631	
HP_0002655	HP_0002655	
HP_0002654	HP_0002654	
HP_0003306	HP_0003306	
HP_0002657	HP_0002657	
HP_0003468	HP_0003468	
HP_0003304	HP_0003304	
HP_0008433	HP_0008433	
HP_0006097	HP_0006097	
HP_0003023	HP_0003023	
HP_0010709	HP_0010709	
HP_0005881	HP_0005881	
HP_0010708	HP_0010708	
HP_0006210	HP_0006210	
HP_0010707	HP_0010707	
HP_0009471	HP_0009471	
HP_0100348	HP_0100348	
HP_0002757	HP_0002757	
HP_0005876	HP_0005876	
HP_0001233	HP_0001233	
HP_0003416	HP_0003416	
HP_0005879	HP_0005879	
HP_0003413	HP_0003413	
HP_0008423	HP_0008423	
HP_0009276	HP_0009276	
HP_0010492	HP_0010492	
HP_0009185	HP_0009185	
HP_0100711	HP_0100711	
HP_0001459	HP_0001459	
HP_0002944	HP_0002944	
HP_0100351	HP_0100351	
HP_0003319	HP_0003319	
HP_0005617	HP_0005617	
HP_0100350	HP_0100350	
HP_0002828	HP_0002828	
HP_0000925	HP_0000925	
HP_0010692	HP_0010692	
HP_0030044	HP_0030044	
HP_0004058	HP_0004058	
HP_0004696	HP_0004696	
HP_0008458	HP_0008458	
HP_0002756	HP_0002756	
HP_0005108	HP_0005108	
HP_0005107	HP_0005107	
HP_0009824	HP_0009824	
HP_0001180	HP_0001180	
HP_0004691	HP_0004691	
HP_0006230	HP_0006230	
HP_0003121	HP_0003121	
HP_0004692	HP_0004692	
HP_0005781	HP_0005781	
