id	labelhpo	combined
HP_0005490	HP_0005490	
HP_0001548	HP_0001548	
HP_0001525	HP_0001525	
HP_0003508	HP_0003508	
HP_0001528	HP_0001528	
HP_0001824	HP_0001824	
HP_0001508	HP_0001508	
HP_0011451	HP_0011451	
HP_0004324	HP_0004324	
HP_0004325	HP_0004325	
HP_0001531	HP_0001531	
HP_0004322	HP_0004322	
HP_0000002	HP_0000002	
HP_0003498	HP_0003498	
HP_0004323	HP_0004323	
HP_0004488	HP_0004488	
HP_0011407	HP_0011407	
HP_0001533	HP_0001533	
HP_0008866	HP_0008866	
HP_0001513	HP_0001513	
HP_0004481	HP_0004481	
HP_0004482	HP_0004482	
HP_0031818	HP_0031818	
HP_0025502	HP_0025502	
HP_0000240	HP_0000240	
HP_0100554	HP_0100554	
HP_0003517	HP_0003517	
HP_0001519	HP_0001519	
HP_0001518	HP_0001518	
HP_0008929	HP_0008929	
HP_0012772	HP_0012772	
HP_0000098	HP_0000098	
HP_0000252	HP_0000252	
HP_0045081	HP_0045081	
HP_0000256	HP_0000256	
HP_0040194	HP_0040194	
HP_0040195	HP_0040195	
HP_0003561	HP_0003561	
HP_0003782	HP_0003782	
HP_0005484	HP_0005484	
