id	labelhpo	combined
HP_0011097	HP_0011097	
HP_0002977	HP_0002977	
HP_0011099	HP_0011099	
HP_0002464	HP_0002464	
HP_0006986	HP_0006986	
HP_0002268	HP_0002268	
HP_0001332	HP_0001332	
HP_0002501	HP_0002501	
HP_0001257	HP_0001257	
HP_0002269	HP_0002269	
HP_0007359	HP_0007359	
HP_0030724	HP_0030724	
HP_0001290	HP_0001290	
HP_0002062	HP_0002062	
HP_0002061	HP_0002061	
HP_0001250	HP_0001250	
HP_0003397	HP_0003397	
HP_0002066	HP_0002066	
HP_0002143	HP_0002143	
HP_0001251	HP_0001251	
HP_0010553	HP_0010553	
HP_0032005	HP_0032005	
HP_0002497	HP_0002497	
HP_0002530	HP_0002530	
HP_0031866	HP_0031866	
HP_0002133	HP_0002133	
HP_0002179	HP_0002179	
HP_0006852	HP_0006852	
HP_0010867	HP_0010867	
HP_0002414	HP_0002414	
HP_0001285	HP_0001285	
HP_0002011	HP_0002011	
HP_0002451	HP_0002451	
HP_0002373	HP_0002373	
HP_0410043	HP_0410043	
HP_0010301	HP_0010301	
HP_0031165	HP_0031165	
HP_0012443	HP_0012443	
HP_0001310	HP_0001310	
HP_0031951	HP_0031951	
HP_0009878	HP_0009878	
HP_0002921	HP_0002921	
HP_0010651	HP_0010651	
HP_0001264	HP_0001264	
HP_0002078	HP_0002078	
HP_0002510	HP_0002510	
HP_0001266	HP_0001266	
HP_0007325	HP_0007325	
HP_0002511	HP_0002511	
HP_0012703	HP_0012703	
HP_0001304	HP_0001304	
HP_0002070	HP_0002070	
HP_0002191	HP_0002191	
HP_0100705	HP_0100705	
HP_0002073	HP_0002073	
HP_0007367	HP_0007367	
HP_0002072	HP_0002072	
HP_0002075	HP_0002075	
HP_0002470	HP_0002470	
HP_0004373	HP_0004373	
