id	labelhpo	combined
HP_0100687	HP_0100687	
HP_0040113	HP_0040113	
HP_0011390	HP_0011390	
HP_0040119	HP_0040119	
HP_0000359	HP_0000359	
HP_0400002	HP_0400002	
HP_0011474	HP_0011474	
HP_0012781	HP_0012781	
HP_0000384	HP_0000384	
HP_0004467	HP_0004467	
HP_0008605	HP_0008605	
HP_0008607	HP_0008607	
HP_0000365	HP_0000365	
HP_0008608	HP_0008608	
HP_0012715	HP_0012715	
HP_0001730	HP_0001730	
HP_0012714	HP_0012714	
HP_0008504	HP_0008504	
HP_0012713	HP_0012713	
HP_0012779	HP_0012779	
HP_0008527	HP_0008527	
HP_0012712	HP_0012712	
HP_0008542	HP_0008542	
HP_0008587	HP_0008587	
HP_0008591	HP_0008591	
HP_0001757	HP_0001757	
HP_0000405	HP_0000405	
HP_0011389	HP_0011389	
HP_0000407	HP_0000407	
HP_0000408	HP_0000408	
HP_0008619	HP_0008619	
HP_0000377	HP_0000377	
HP_0000410	HP_0000410	
HP_0008513	HP_0008513	
HP_0009900	HP_0009900	
HP_0000356	HP_0000356	
HP_0000357	HP_0000357	
HP_0008615	HP_0008615	
HP_0011975	HP_0011975	
HP_0040095	HP_0040095	
HP_0040096	HP_0040096	
HP_0005101	HP_0005101	
HP_0008572	HP_0008572	
HP_0008573	HP_0008573	
HP_0000372	HP_0000372	
HP_0040111	HP_0040111	
