name	label	description	entity	dataType	refEntity	nillable	unique	visible	idAttribute	labelAttribute	readOnly	aggregateable	lookupAttribute	enumOptions	partOfAttribute	rangeMax	rangeMin	mappedBy	expression	validationExpression	defaultValue	tags	auto	label-en	description-en	label-nl	description-nl	label-de	description-de	label-es	description-es	label-it	description-it	label-pt	description-pt	label-fr	description-fr	label-xx	description-xx
code	Code		hgnc	string		false	true	false	true		true	false	false										FALSE																
value_en	Value (English)		hgnc	string		false	false	true	false	true	false	false	true										FALSE																
description_en	Description (English)		hgnc	string		true	false	true	false		false	false	false										FALSE																
synonym	Synonym		hgnc	string		true	false	true	false		false	false	false																										
chrLocation	Chrosome location		hgnc	string		true	false	true	false		false	false	false																										
codesystem	Codesystem		hgnc	string		true	false	true	false		false	false	false																										
refSeqId	Reference Sequence (RefSeq) identifier		hgnc	string		true	false	true	false		false	false	false																										
locusType	Locus Group 		hgnc	categorical	skin_codebook1_subClasshgnc	true	false	true	false		false	false	false																										
linkPubmed	PubMed identifier 		hgnc	string		true	false	true	false		false	false	false																										
linkEnsembl	Ensembl identifier		hgnc	string		true	false	true	false		false	false	false																										
