name	label	description	entity	dataType	refEntity	nillable	unique	visible	idAttribute	labelAttribute	readOnly	aggregateable	lookupAttribute	enumOptions	partOfAttribute	rangeMax	rangeMin	mappedBy	expression	validationExpression	defaultValue	tags	auto	label-en	description-en	label-nl	description-nl	label-de	description-de	label-es	description-es	label-it	description-it	label-pt	description-pt	label-fr	description-fr	label-xx	description-xx
id	classID		omim	string		FALSE	TRUE	TRUE	TRUE		TRUE	FALSE	TRUE										FALSE																
label	Label		omim	text		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE										FALSE																
synonyms	Synonyms		omim	text		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE										FALSE																
parents	Parents (link to other OMIM code)	skin_omim	omim	mref	omim	TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
allelicVariant	Allelic variant of (link to other OMIM code)		omim	xref	omim	TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
geneLocus	Gene Locus		omim	string		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
geneSymbol	Gene Symbol		omim	string		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
omimType	OMIM type (category)		omim	categorical	skin_omimType	TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
semanticType	Semantic type UMLS property (URL)		omim	hyperlink		TRUE	FALSE	TRUE	FALSE		FALSE	FALSE	FALSE																										
