id	labelhpo	combined
HP_0032071	HP_0032071	
HP_0010960	HP_0010960	
HP_0030250	HP_0030250	
HP_0031983	HP_0031983	
HP_0002101	HP_0002101	
HP_0002103	HP_0002103	
HP_0011947	HP_0011947	
HP_0031457	HP_0031457	
HP_0006528	HP_0006528	
HP_0002107	HP_0002107	
HP_0002206	HP_0002206	
HP_0006549	HP_0006549	
HP_0006703	HP_0006703	
HP_0002088	HP_0002088	
HP_0100750	HP_0100750	
HP_0032445	HP_0032445	
HP_0031630	HP_0031630	
HP_0002113	HP_0002113	
HP_0025195	HP_0025195	
HP_0006517	HP_0006517	
HP_0025194	HP_0025194	
HP_0006516	HP_0006516	
HP_0025193	HP_0025193	
HP_0000776	HP_0000776	
HP_0002097	HP_0002097	
HP_0006530	HP_0006530	
