id	labelhpo	combined
HP_0000819	HP_0000819	
HP_0001406	HP_0001406	
HP_0001396	HP_0001396	
HP_0005978	HP_0005978	
HP_0004403	HP_0004403	
HP_0031956	HP_0031956	
HP_0011284	HP_0011284	
HP_0008150	HP_0008150	
HP_0100651	HP_0100651	
HP_0004904	HP_0004904	
HP_0011985	HP_0011985	
HP_0001539	HP_0001539	
HP_0012334	HP_0012334	
HP_0001738	HP_0001738	
HP_0011286	HP_0011286	
HP_0200148	HP_0200148	
HP_0011285	HP_0011285	
HP_0031964	HP_0031964	
HP_0002575	HP_0002575	
HP_0002611	HP_0002611	
HP_0001543	HP_0001543	
HP_0002910	HP_0002910	
HP_0000952	HP_0000952	
HP_0002251	HP_0002251	
HP_0002032	HP_0002032	
